Index,Type
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,9
8,14
9,12
10,0
11,0
12,0
13,0
14,0
15,0
16,2
17,2
18,0
19,2
20,0
21,0
22,11
23,0
24,1
25,0
26,1
27,1
28,4
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,3
41,6
42,6
43,0
44,16
45,0
46,0
47,0
48,0
49,0
50,0
51,3
52,9
53,9
54,14
55,10
56,10
57,10
58,14
59,14
60,13
61,10
62,14
63,0
64,2
65,2
66,1
67,1
68,1
69,1
70,0
71,11
72,11
73,11
74,0
75,11
76,11
77,3
78,11
79,11
80,11
81,6
82,15
83,9
84,12
85,12
86,12
87,12
88,5
89,4
90,4
91,4
92,3
93,13
94,13
95,13
96,13
97,13
98,0
99,0
100,13
101,7
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,7
110,10
111,0
112,13
113,13
114,14
115,13
116,0
117,0
118,0
119,2
120,0
121,0
122,7
123,3
124,3
125,4
126,9
127,10
128,10
129,0
130,0
131,0
132,0
133,13
134,13
135,0
136,1
137,0
138,13
139,3
140,0
141,6
142,0
143,2
144,0
145,10
146,0
147,11
148,0
149,13
150,0
151,3
152,10
153,0
154,0
155,4
156,13
157,5
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,16
169,6
170,0
171,7
172,9
173,0
174,7
175,0
176,0
177,2
178,11
179,1
180,7
181,14
182,0
183,1
184,0
185,16
186,17
187,0
188,3
189,4
190,10
191,4
192,12
193,0
194,7
195,0
196,14
197,1
198,4
199,0
200,15
201,5
202,11
203,0
204,17
205,5
206,0
207,0
208,0
209,12
210,6
211,8
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,9
222,4
223,1
224,6
225,15
226,0
227,0
228,16
229,0
230,0
231,8
232,8
233,1
234,0
235,11
236,17
237,0
238,1
239,15
240,10
241,9
242,16
243,13
244,0
245,0
246,5
247,7
248,13
249,1
250,10
251,16
252,0
253,0
254,0
255,0
256,0
257,9
258,14
259,16
260,16
261,9
262,16
263,0
264,1
265,0
266,0
267,0
268,12
269,16
270,0
271,13
272,13
273,0
274,0
275,11
276,1
277,13
278,0
279,1
280,1
281,0
282,16
283,0
284,9
285,13
286,13
287,0
288,7
289,16
290,0
291,10
292,1
293,0
294,6
295,13
296,13
297,2
298,0
299,9
300,4
301,14
302,11
303,0
304,0
305,3
306,0
307,9
308,10
309,8
310,7
311,0
312,11
313,16
314,2
315,9
316,0
317,5
318,6
319,8
320,11
321,0
322,13
323,10
324,6
325,7
326,13
327,1
328,4
329,14
330,10
331,11
332,2
333,14
334,8
335,0
336,0
337,15
338,11
339,1
340,2
341,4
342,3
343,0
344,12
345,11
346,10
347,13
348,11
349,15
350,5
351,12
352,10
353,8
354,13
355,2
356,13
357,13
358,1
359,1
360,8
361,13
362,10
363,0
364,0
365,2
366,2
367,0
368,8
369,6
370,1
371,16
372,16
373,16
374,16
375,13
376,0
377,13
378,0
379,13
380,3
381,0
382,0
383,0
384,13
385,13
386,16
387,0
388,11
389,16
390,3
391,13
392,10
393,12
394,9
395,1
396,1
397,5
398,3
399,16
400,16
401,10
402,11
403,2
404,6
405,6
406,15
407,15
408,5
409,1
410,1
411,1
412,11
413,2
414,4
415,16
416,0
417,16
418,8
419,14
420,14
421,7
422,12
423,14
424,9
425,7
426,4
427,13
428,13
429,8
430,8
431,0
432,2
433,13
434,15
435,12
436,9
437,11
438,11
439,5
440,3
441,3
442,8
443,8
444,5
445,0
446,5
447,11
448,2
449,0
450,6
451,12
452,11
453,10
454,6
455,6
456,6
457,5
458,0
459,15
460,15
461,13
462,0
463,9
464,16
465,11
466,7
467,7
468,16
469,5
470,13
471,13
472,13
473,13
474,3
475,8
476,6
477,13
478,13
479,5
480,1
481,9
482,3
483,6
484,8
485,13
486,12
487,10
488,9
489,3
490,1
491,3
492,16
493,0
494,0
495,0
496,0
497,0
498,0
499,3
500,13
501,1
502,13
503,10
504,0
505,13
506,7
507,2
508,8
509,1
510,9
511,16
512,2
513,0
514,0
515,1
516,0
517,9
518,10
519,9
520,11
521,12
522,6
523,4
524,14
525,15
526,0
527,12
528,12
529,4
530,15
531,13
